RegionID,SizeRank,RegionName,RegionType,StateName,Jan-96,Feb-96,Mar-96,Apr-96,May-96,Jun-96,Jul-96,Aug-96,Sep-96,Oct-96,Nov-96,Dec-96,Jan-97,Feb-97,Mar-97,Apr-97,May-97,Jun-97,Jul-97,Aug-97,Sep-97,Oct-97,Nov-97,Dec-97,Jan-98,Feb-98,Mar-98,Apr-98,May-98,Jun-98,Jul-98,Aug-98,Sep-98,Oct-98,Nov-98,Dec-98,Jan-99,Feb-99,Mar-99,Apr-99,May-99,Jun-99,Jul-99,Aug-99,Sep-99,Oct-99,Nov-99,Dec-99,Jan-00,Feb-00,Mar-00,Apr-00,May-00,Jun-00,Jul-00,Aug-00,Sep-00,Oct-00,Nov-00,Dec-00,Jan-01,Feb-01,Mar-01,Apr-01,May-01,Jun-01,Jul-01,Aug-01,Sep-01,Oct-01,Nov-01,Dec-01,Jan-02,Feb-02,Mar-02,Apr-02,May-02,Jun-02,Jul-02,Aug-02,Sep-02,Oct-02,Nov-02,Dec-02,Jan-03,Feb-03,Mar-03,Apr-03,May-03,Jun-03,Jul-03,Aug-03,Sep-03,Oct-03,Nov-03,Dec-03,Jan-04,Feb-04,Mar-04,Apr-04,May-04,Jun-04,Jul-04,Aug-04,Sep-04,Oct-04,Nov-04,Dec-04,Jan-05,Feb-05,Mar-05,Apr-05,May-05,Jun-05,Jul-05,Aug-05,Sep-05,Oct-05,Nov-05,Dec-05,Jan-06,Feb-06,Mar-06,Apr-06,May-06,Jun-06,Jul-06,Aug-06,Sep-06,Oct-06,Nov-06,Dec-06,Jan-07,Feb-07,Mar-07,Apr-07,May-07,Jun-07,Jul-07,Aug-07,Sep-07,Oct-07,Nov-07,Dec-07,Jan-08,Feb-08,Mar-08,Apr-08,May-08,Jun-08,Jul-08,Aug-08,Sep-08,Oct-08,Nov-08,Dec-08,Jan-09,Feb-09,Mar-09,Apr-09,May-09,Jun-09,Jul-09,Aug-09,Sep-09,Oct-09,Nov-09,Dec-09,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20
102001,0,United States,Country,,106700,106727,106777,106902,107044,107213,107379,107590,107805,108060,108310,108581,108765,108997,109248,109573,109902,110211,110543,110839,111151,111430,111781,112167,112741,113270,113778,114121,114493,114874,115285,115747,116269,116829,117310,117738,118105,118580,119106,119727,120322,120995,121680,122304,122864,123419,124084,124781,125504,126219,126939,127675,128410,129123,129834,130590,131384,132185,133005,133856,134698,135480,136256,137044,137839,138608,139360,140121,140890,141672,142424,143161,143898,144668,145455,146239,147034,147872,148752,149651,150544,151463,152415,153399,154367,155320,156256,157198,158147,159071,160004,160998,162082,163218,164354,165485,166685,167989,169376,170768,172241,173785,175421,177031,178633,180220,181828,183510,185238,186969,188670,190453,192254,194132,196031,197952,199871,201684,203417,204981,206377,207645,208880,210049,211127,212021,212717,213239,213556,213784,213927,214008,214074,214090,214051,213919,213607,213147,212531,211938,211233,210443,209467,208440,207242,205815,204199,202454,200750,199029,197321,195474,193706,191927,190095,188197,186352,184805,183314,181863,180442,179223,178281,177495,176821,176294,176078,175981,175917,175719,175571,175535,175456,175174,174489,173669,172723,171795,170761,169791,168824,167910,166947,165918,164891,164002,163388,162940,162609,162244,161922,161607,161398,161269,161343,161578,161965,162378,162841,163360,163955,164647,165443,166312,167283,168307,169435,170609,171848,173141,174469,175801,177093,178315,179416,180436,181389,182308,183036,183634,184174,184772,185359,185870,186371,186958,187673,188422,189140,189879,190740,191633,192537,193341,194138,194988,195870,196731,197511,198370,199307,200269,201120,202006,202907,203884,204882,205893,206910,207935,209033,210105,211161,212192,213302,214460,215613,216767,217874,218999,220164,221388,222636,223872,225062,226299,227543,228813,230103,231355,232522,233522,234395,235187,235955,236757,237585,238349,239006,239669,240550,241563,242497,243183,243743,244289,244836,245517,246361,247379,248510,249737,250925,252180,253706,255671,257971,260504,263250,266104
394913,1,"New York, NY",Msa,NY,187629,187191,186913,186380,186063,185773,185596,185504,185548,185672,185796,185942,186216,186824,187539,188209,188705,189326,189947,190568,191082,191591,192309,193131,194029,194629,195098,195516,196050,196628,197198,197995,198991,200211,201296,202441,203391,204564,205811,207411,209154,210988,213057,214882,216675,218267,220103,222005,224053,226281,228684,231075,233368,235667,238016,240391,242778,245148,247567,249937,252296,254765,257191,259733,262210,264738,267111,269507,271962,274735,277516,280298,283116,285797,288371,290968,293689,296668,299760,303426,307318,311221,314951,318842,322707,326680,330848,334818,338664,342242,345886,349239,352283,355174,358237,361395,364961,368516,372231,375755,379681,383799,388322,392827,397559,402325,407148,411676,416028,420161,424317,429103,433946,438735,443191,447828,452668,457649,462292,466902,470829,474586,477200,479417,481149,483069,484395,484779,484341,482963,481438,479672,478087,476762,476503,475924,475474,473787,472137,470446,468712,467572,466276,464832,463401,461545,459061,456422,452802,449691,446362,443614,440673,437340,433802,430393,426549,422717,419095,415670,413059,410202,407698,405044,403263,402141,401678,401448,401367,401430,400962,400751,400313,400726,400989,401112,400504,399298,397737,395853,394471,393191,392439,391027,389485,387309,385441,383769,382350,381049,379595,378378,377016,375678,374409,373481,372941,372751,372579,372490,372458,372560,373068,373791,374505,375387,376297,377733,379304,380917,382644,384371,386236,388253,390208,391926,393813,395473,397307,398572,399783,400799,401697,402622,403451,404196,404649,405425,406217,407370,408101,409071,409868,410967,411892,412761,413669,414615,416066,417202,417971,418593,419429,420735,421792,422826,423926,425228,426586,428047,429473,431097,433038,434687,436482,437751,439965,442204,444940,447363,449594,451525,453228,454934,457022,459508,462058,464594,466671,468541,469679,470786,471985,473469,474937,476091,476727,477123,477549,478143,478996,479903,480726,481031,480507,479656,478949,479224,480066,481145,482166,483453,484899,486744,489255,492615,497019,502054,507534,512941
753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,185558,185817,185836,185945,185918,185945,186046,185998,185884,185787,185765,185890,185560,184991,184659,184862,185387,185866,186488,187388,188402,189377,190285,191310,193007,195114,197080,198539,199901,201197,202213,203563,205247,207130,208951,210402,212143,213681,215341,216805,218285,220317,222508,224010,225143,226452,228373,230372,232063,233748,235680,237904,240228,242381,244503,246862,249217,251457,253569,255850,258037,260357,262544,265063,267336,269599,271565,273704,275990,278674,281188,283889,286655,289793,293110,296643,300200,304327,309107,314178,319122,324104,329563,335046,340042,344523,349046,353473,358324,362486,367780,373693,380521,386649,393716,400800,409254,417842,426992,436905,448063,459656,469522,477766,485899,494236,501279,508311,514860,522796,530678,538351,544645,550964,559185,568124,577744,586799,594262,601270,607080,612232,616719,620613,625214,628433,629730,630905,629287,628652,627319,627238,626540,625332,623504,622115,619256,616580,611599,605243,596942,588395,581815,574559,567102,556461,544955,530928,516937,504746,494204,484891,477748,470232,461301,449835,441438,437050,433802,430558,427706,425090,423909,423937,424928,426347,428954,432958,434069,432600,432331,434356,438069,437438,435252,431717,428899,425891,421729,418943,417534,417131,415060,412114,406954,405554,404499,403562,400804,398121,397741,396783,395581,393979,393258,393279,394901,396524,399187,401975,405838,410928,415161,420732,426170,434575,443564,453563,462282,470790,478280,487066,494810,500771,505884,509444,513611,514448,514906,514391,514883,515376,516941,516710,517206,517854,520727,523340,526769,530789,534981,537351,539889,542456,545161,548280,551531,555418,558065,562636,565133,568442,570256,574371,577924,581104,583838,587415,591306,595081,597883,599643,603267,605959,609630,611908,615641,619396,622917,625846,628766,631729,636545,641571,645772,650056,654104,658481,661888,665450,667454,667782,666829,667135,667628,667158,666243,663577,661098,660449,663979,668445,670400,670492,671369,673065,674619,677121,681054,686316,691582,695898,697542,698775,703213,710520,718327,725388,732558,739930
394463,3,"Chicago, IL",Msa,IL,163084,162785,162390,161941,161339,161014,160539,161105,161919,163573,164876,165841,166124,166074,166235,166094,166266,166003,165701,163309,160371,156088,152780,150395,149526,149421,149361,149344,149285,149211,149540,150957,153012,155700,157989,159733,160538,161008,161493,162155,162717,163664,164672,165639,166269,166988,167876,168826,170028,171261,172515,173630,174734,175799,176828,177979,179241,180507,181818,183178,184502,185625,186772,187995,189387,190691,191851,192982,194167,195498,196797,197976,199012,200129,201412,202512,203688,204826,206281,207657,208970,210196,211263,212543,213796,215228,216487,217883,219028,220073,221036,222226,223628,224982,226371,227578,229044,230368,231734,233171,234722,236549,238239,239916,241327,242857,244541,246386,248041,249749,251422,253253,255081,257019,258927,260740,262738,264701,266480,268089,269506,270983,272193,273446,274485,275358,275967,276642,277116,277517,277710,278071,278616,279361,279130,278879,277689,277302,276170,275688,274547,273853,272993,271997,271095,268296,267543,264408,263668,260172,258804,255461,253684,250472,247897,244063,240034,237036,233703,231654,228649,226589,224769,223351,221326,219766,218307,218171,217548,217395,215704,215496,213905,213872,211093,209690,207418,206258,203839,201839,199800,198230,196841,194583,193188,190974,190596,189283,188682,186446,185447,183641,182727,180735,180370,179815,179824,179221,178350,177600,176970,177436,178143,178887,179847,181083,181911,183142,184065,185844,187507,189777,191703,193896,195015,196462,197245,198525,199077,199282,199761,200687,201669,202145,202814,203155,203850,204300,204744,204868,205522,206640,207641,207852,208053,208318,208702,208993,209381,210007,210758,212000,212986,213775,214358,215197,216314,217336,218163,218963,219983,221112,222408,223477,224810,225966,227016,227709,228236,228969,229869,231024,232077,233241,234387,235233,235695,236222,236995,238065,238775,239384,239886,240271,240726,241007,241163,241432,241779,242430,243093,243656,243994,244024,243601,243126,242874,243037,243485,243818,244374,244846,245365,246030,247223,248836,251011,253444,255913,258381
394514,4,"Dallas-Fort Worth, TX",Msa,TX,110756,110819,110978,111294,111635,111881,112057,112275,112495,112828,113153,113481,113538,113630,113657,113822,113915,114108,114335,114584,114877,115212,115493,115844,116292,116737,117096,117203,117424,117671,118054,118400,118759,118683,118682,118596,119178,119943,120922,121864,122663,123492,124234,124749,125085,125764,126587,127381,127691,128016,128259,128499,128677,128847,129033,129327,129771,130223,130623,131007,131244,131073,130895,130799,130979,130999,131070,131281,131501,131651,131692,131837,132043,132462,132820,133308,133758,134450,135143,135737,136216,136649,137151,137683,137927,137943,137730,137647,137731,137977,138223,138452,138750,139167,139593,139910,140634,141976,143934,145508,146384,146721,147030,147492,147934,148421,148829,149328,150071,150309,150307,150115,150336,150756,151176,151589,151945,151891,152032,152014,152264,152734,153173,153621,154006,154429,154690,154764,154881,155512,155913,156343,156337,156271,156244,156385,156615,156790,156945,157308,157822,158149,158275,158289,157636,156627,155366,154515,153805,153293,152981,152516,151733,150783,149893,149225,149093,149416,149843,149928,149880,149649,149573,149470,149617,149770,150334,150641,150686,150458,150232,150358,150259,150214,149519,148813,147884,147201,146330,145857,145524,144977,144375,143470,142935,142294,142127,142131,142357,142432,142332,142013,141843,142275,142820,143430,143809,144312,144898,145417,145880,146301,146929,147638,148506,149123,149927,150788,151835,152885,154017,155135,156422,157709,158996,160147,161049,162035,162862,163698,164485,165436,166138,167154,168049,169275,170436,171714,173215,174652,176298,177896,179566,181213,182949,184457,185884,187218,188709,190362,191905,193457,194956,196641,198466,200201,202134,203793,205506,207115,208911,210752,212380,214078,215545,217224,218796,220429,221843,223312,225012,226849,228552,229967,231338,232954,234754,236443,237863,239252,240452,241574,242312,243175,244138,245447,246736,247530,247957,248298,248959,249497,250067,250554,251343,251509,251821,251825,252335,252910,253865,254976,256100,257445,259032,260861,262764,265258,267823,270757
394974,5,"Philadelphia, PA",Msa,PA,120857,120702,120562,120318,120153,120058,120014,119991,120033,120120,120249,120355,120486,120653,120882,121134,121384,121618,121821,121978,122091,122175,122299,122476,122669,122867,123054,123201,123273,123323,123400,123645,123930,124273,124470,124674,124843,125088,125384,125745,126151,126564,127034,127410,127771,128094,128650,129327,130083,130817,131421,132029,132591,133193,133716,134227,134780,135420,136008,136616,137236,137967,138770,139555,140330,141086,141928,142755,143615,144455,145458,146345,147326,148276,149425,150610,151789,153019,154238,155699,157260,158961,160523,162260,163920,165668,167257,168946,170642,172339,174056,175724,177522,179330,181272,182993,184746,186575,188629,190741,192955,195288,197806,200477,202975,205215,207353,209785,212538,215007,217273,219406,221856,224491,227187,229855,232496,235250,237871,240352,242347,244220,245814,247464,248804,250045,251003,251793,252376,252725,252912,252932,253034,253086,253350,253393,253771,253894,254093,253819,253552,253327,253104,252753,252062,251591,250921,250299,249011,247578,245976,244590,243221,241716,240235,238791,237468,236287,235349,234487,233555,232606,231706,231123,230751,230813,231063,231201,231299,230970,230538,230137,230121,230226,229984,229144,227892,226332,224621,223118,221855,220923,219801,218354,216624,214960,213689,212825,212022,211278,210507,209863,208997,208100,207482,207214,206948,206457,205871,205465,205293,205223,205254,205284,205518,205733,206065,206558,207328,208249,209165,209915,210677,211306,211910,212286,212730,213198,213428,213204,213108,213189,213440,213401,213344,213445,213711,214111,214343,214542,214924,215513,215855,215929,216040,216422,216794,216930,216970,216936,217058,217332,217590,218005,218475,219318,220019,220717,221297,222031,222760,223677,224676,225480,226048,226518,227216,227911,228543,229246,230034,231088,232053,233006,233771,234845,236252,237656,238737,239491,240205,240767,241452,241960,242796,243515,244442,245125,246101,246767,247675,248275,249050,249520,249819,249949,250261,250901,251857,252870,253589,254752,256035,257910,259899,262414,265234,268489,271754,275148
394692,6,"Houston, TX",Msa,TX,108029,108103,108111,108257,108394,108493,108530,108589,108752,108943,109207,109492,109457,109301,109164,109242,109333,109499,109726,109963,110121,110292,110527,110760,111406,112016,112646,112851,113100,113340,113635,113900,114171,114452,114476,114479,114597,115216,116084,116953,117731,118449,119173,119863,120402,120856,121358,121936,122444,122684,122730,122867,122923,123061,123154,123436,123755,124008,124453,124877,125077,125062,124697,124513,124488,124628,124764,124627,124699,124893,125109,125249,125392,125655,126197,126815,127384,127902,128374,129040,129568,130029,130375,130706,131112,131320,131413,131487,131595,131922,132116,132471,132685,133017,133313,133683,134196,135174,136599,137741,138900,139397,140351,140973,141882,142670,143413,144240,144937,145584,145866,146130,146092,146372,146419,146528,146463,146372,146526,146537,146802,146930,147262,147530,148047,148474,148984,149500,150135,150819,151371,151948,152433,152641,152658,152812,153156,153644,153862,154302,154683,155045,155303,155561,155364,154957,154415,154079,153513,152887,152400,151846,151274,150771,150036,149189,148563,148540,148581,148492,148450,148689,149151,149472,149548,149354,149513,149784,149975,150003,150251,150505,150557,150095,149094,147894,147015,146497,146267,145917,145439,144661,143557,142615,141844,141452,141284,141340,141362,141385,140838,140526,140422,140718,141093,141286,141610,141870,142351,142817,143230,143440,144030,144634,145461,146303,147645,149213,150715,151953,153149,154395,155739,157234,158715,160099,161401,162697,163635,164463,165263,166559,168012,169716,171376,172843,174161,175526,176847,178062,179452,180861,182203,183246,183973,184598,185231,186155,186864,187491,188318,189128,189649,189882,190427,191077,191885,192366,192806,193097,193869,194758,195254,195793,196430,197202,197658,198094,198518,198907,199326,199814,200348,200850,201377,201818,202384,203390,204493,205427,206131,207102,208046,208831,209294,209785,210751,211599,212107,212072,212366,213065,213926,214529,214693,215087,215427,215900,215907,216188,216862,217812,218643,219386,220258,221360,222967,224638,226670,228789
395209,7,"Washington, DC",Msa,DC,179613,179389,179257,178981,178861,178708,178543,178435,178457,178593,178652,178721,178502,178376,178196,178294,178246,178321,178470,178594,178535,178443,178511,178592,178991,179364,179854,180034,180225,180335,180448,180635,180934,181139,181301,181587,182110,182884,183627,184367,185043,185830,186632,187346,188170,189096,190256,191303,192347,193261,194179,195087,196156,197307,198678,200174,201729,203417,205098,207046,208924,210784,212723,214872,217112,219296,221382,223528,225724,227966,230393,232841,235365,237756,240244,242845,245650,248563,251588,254782,257889,260985,263990,267108,270145,273477,276813,280048,282939,285825,288656,291572,294704,298475,302517,306465,310277,314582,319145,324050,329198,335058,341753,348726,355892,362187,368232,374292,381122,387516,393830,400651,408341,416006,422935,429226,435624,442059,447555,452430,456358,460184,463741,465963,467263,467491,467453,466837,464561,461934,459969,458724,457395,455848,454325,453145,451372,448560,445287,441930,439545,436419,432528,427398,422658,417610,411874,405394,398123,391736,385625,380331,374918,370023,365440,361129,356116,351518,347271,343820,341589,340212,339448,338564,337550,337042,337204,338102,339382,339733,340463,341263,342593,342623,342100,341203,340886,340259,338828,337440,336479,336727,336326,335846,334559,334101,333436,333202,332590,332124,332158,332072,331917,331877,332843,334013,335276,336631,338392,340006,341287,342946,344986,347488,350130,352238,354076,355905,358469,360865,363230,365750,368896,371649,373978,375465,377007,378489,379689,380662,380736,380776,380918,381088,381210,381146,381225,381346,381082,381566,382330,382779,383025,383308,383794,384084,384202,384722,385151,385900,386496,386255,386223,386990,388850,390226,391253,392034,393275,394239,395327,396697,398646,401008,402356,403156,403086,403811,404758,406404,407764,409286,410835,411700,412359,412874,414332,415988,418099,419852,421296,421871,422151,422471,422795,424022,425622,427489,428855,429749,430824,431806,432281,432956,433783,435182,436554,437805,438964,440063,441494,443532,445620,448083,451334,455010,459078,463010,467344,471888
394856,8,"Miami-Fort Lauderdale, FL",Msa,FL,110299,110430,110569,110818,111034,111345,111657,111921,112031,112144,112305,112507,112417,112404,112410,112747,113043,113274,113485,113713,113964,114142,114316,114533,115302,115936,116484,116498,116628,116474,116395,116452,117066,117804,118372,118734,118794,118912,119045,119396,119801,120669,121453,122143,122231,122352,122647,123051,123590,124220,125020,125862,126543,127143,127729,128314,129069,129826,130751,131752,132786,133860,135059,136325,137775,139202,140834,142553,144452,146433,148264,149933,151485,153015,154413,155892,157361,158988,160651,162469,164163,165865,167568,169748,171951,174298,176606,178991,181208,183190,185036,186904,189039,191318,193870,196118,198746,201249,203939,206424,209350,212582,216057,219771,223609,227701,231767,236295,240633,245421,250297,255271,260515,266079,272486,278760,284952,290520,295591,300189,304980,309123,313746,318821,323546,327260,329402,330969,331966,332231,332914,332782,332605,331670,330092,327195,323837,319895,316040,312094,308088,304586,299935,295315,289129,283197,276497,270473,264380,258811,252722,246182,239369,232383,225911,220060,214733,209741,204729,200097,195630,192060,189010,186595,184413,182992,181741,180314,179373,178679,178504,177859,177161,175826,174640,173213,171931,170097,168513,167177,165736,164413,163081,162205,161269,160464,159668,159137,158742,158725,158844,158975,159214,159229,159522,159882,160743,161988,163219,164720,166301,167969,169300,170750,172633,175147,177850,180916,183737,186243,188847,191538,194413,197093,200436,203592,206548,208512,210503,211707,213342,214778,216690,218154,219467,220987,221827,223010,223925,225662,226988,228588,229843,231318,232391,233732,235374,236900,238784,240362,242243,243797,245361,246971,248611,250631,252646,254386,255726,257035,258594,260246,261792,263170,264301,265743,267126,268453,269641,271353,273085,274968,275818,276940,277643,279224,281047,282621,284386,285703,287368,288429,289336,289832,291392,292720,294015,293614,293737,294030,294556,295437,296261,296846,297065,297661,298379,298730,299169,300531,301816,303137,304334,305637,307010,308961,311491,314118,316564,319594
394347,9,"Atlanta, GA",Msa,GA,120455,120684,120906,121395,121878,122402,122868,123330,123768,124243,124731,125257,125603,125991,126405,126974,127505,127944,128440,129022,129674,130300,130836,131386,132264,133133,133923,134374,134949,135599,136312,136948,137567,138196,138987,139712,140383,141021,141806,142685,143531,144419,145354,146239,147132,147995,148880,149740,150529,151400,152328,153404,154449,155472,156437,157476,158510,159598,160577,161636,162625,163567,164388,165145,165958,166721,167503,168255,168998,169685,170371,171035,171697,172364,172949,173532,174021,174529,174971,175362,175751,176161,176581,176906,177270,177585,177997,178281,178581,178866,179183,179525,179842,180137,180445,180820,181118,181441,181763,182244,182659,183001,183354,183809,184311,184835,185302,185766,186290,186857,187418,187949,188573,189252,189835,190380,190981,191651,192389,193037,193757,194374,194912,195305,195653,196099,196651,197170,197610,197957,198351,198817,199312,199785,200305,200663,200882,200829,200671,200332,199792,199166,198468,197930,196970,195804,194251,193009,191784,190469,188892,187187,185578,183797,181530,178552,175740,173117,170838,168209,165753,163653,162303,161230,160236,159058,158229,157862,157434,156861,156162,155971,155890,155485,154017,152009,149589,147611,145661,144186,142590,141284,139446,137464,135038,132895,131357,130716,130816,130902,130722,129836,129292,128762,129252,129831,130764,131706,132713,133218,133216,133366,134231,135534,137083,138775,140503,142145,143947,145851,147762,149942,152329,154664,156562,158500,160079,161531,162523,163541,164376,165126,166099,166946,167851,168618,169460,170258,171069,171839,172511,173308,174351,175583,176542,177528,178492,179411,180285,181024,182091,183145,184563,185933,187122,187945,188657,189480,190184,191241,192389,193877,194959,196169,197278,198487,199743,201240,202871,204281,205919,207384,209032,210639,212545,214369,215856,217273,218807,220553,222269,223897,225438,226987,228359,229415,230249,231010,232187,233451,234826,235708,236546,237393,238214,238861,239453,240208,241203,242376,243534,244739,245915,247466,249189,251159,253318,255822,258615,261664
