RegionID,RegionName,SizeRank,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12
102001,United States,0,1373,1381,1388,1396,1403,1410,1417,1424,1431,1439,1445,1452,1458,1464,1470,1476,1481,1487,1493,1498,1504,1510,1515,1520,1526,1531,1536,1541,1545,1550,1554,1559,1563,1567,1571,1576,1580,1584,1588,1592,1595,1599,1603,1607,1611,1615,1620,1624,1629,1634,1639,1644,1649,1654,1659,1664,1670,1675,1680,1685,1690,1695,1700,1705,1710,1715,1720,1725,1730,1734,1737,1740,1742,1743,1744,1745,1745,1746,1746,1746,1747,1747,1747,1747
394913,"New York, NY",1,2375,2387,2399,2411,2423,2434,2446,2458,2470,2481,2492,2503,2514,2523,2533,2543,2552,2560,2569,2577,2584,2592,2598,2604,2610,2614,2619,2624,2628,2633,2637,2641,2645,2649,2653,2657,2661,2665,2669,2673,2676,2679,2682,2684,2686,2689,2692,2694,2697,2701,2704,2708,2712,2717,2721,2726,2731,2737,2742,2748,2754,2760,2766,2772,2778,2784,2790,2795,2800,2805,2803,2802,2801,2785,2769,2753,2734,2714,2694,2673,2651,2630,2607,2584
753899,"Los Angeles-Long Beach-Anaheim, CA",2,1838,1855,1873,1890,1906,1923,1940,1956,1973,1989,2004,2018,2032,2044,2055,2067,2079,2091,2103,2115,2127,2139,2152,2164,2176,2188,2200,2211,2222,2233,2243,2253,2263,2274,2284,2294,2304,2313,2323,2333,2342,2351,2360,2368,2376,2385,2393,2401,2409,2418,2426,2435,2443,2452,2461,2469,2478,2486,2494,2502,2510,2517,2525,2532,2539,2546,2553,2559,2565,2571,2573,2576,2578,2578,2577,2576,2574,2573,2572,2570,2568,2566,2564,2562
394463,"Chicago, IL",3,1514,1520,1525,1531,1536,1542,1547,1553,1558,1563,1567,1572,1576,1580,1584,1588,1592,1597,1601,1606,1611,1616,1622,1627,1632,1637,1641,1645,1648,1652,1655,1658,1660,1663,1666,1668,1671,1674,1676,1679,1681,1683,1686,1689,1691,1694,1696,1699,1701,1704,1707,1710,1713,1716,1719,1722,1725,1729,1732,1736,1740,1744,1748,1752,1756,1761,1765,1768,1772,1775,1776,1777,1777,1775,1772,1769,1766,1762,1758,1754,1750,1746,1742,1738
394514,"Dallas-Fort Worth, TX",4,1209,1217,1224,1232,1239,1246,1254,1261,1268,1276,1282,1289,1296,1301,1307,1313,1318,1324,1329,1335,1340,1346,1351,1357,1363,1369,1375,1381,1387,1392,1398,1404,1409,1415,1419,1424,1429,1434,1438,1442,1447,1451,1455,1459,1463,1467,1471,1475,1479,1482,1486,1490,1494,1498,1502,1506,1510,1515,1520,1524,1529,1534,1538,1543,1548,1552,1556,1560,1564,1567,1569,1571,1573,1574,1576,1577,1579,1581,1583,1585,1587,1589,1591,1593
394974,"Philadelphia, PA",5,1340,1345,1349,1354,1358,1362,1366,1371,1375,1379,1383,1388,1392,1395,1398,1402,1405,1409,1412,1416,1420,1424,1427,1431,1434,1438,1441,1445,1448,1452,1455,1459,1462,1466,1469,1471,1474,1477,1479,1481,1483,1485,1488,1490,1492,1494,1497,1500,1504,1507,1511,1515,1519,1524,1528,1532,1537,1541,1545,1550,1554,1559,1563,1567,1572,1576,1580,1584,1587,1591,1593,1596,1598,1600,1602,1604,1606,1608,1611,1613,1615,1617,1619,1621
394692,"Houston, TX",6,1249,1261,1272,1284,1295,1307,1318,1329,1340,1351,1359,1366,1374,1378,1383,1387,1390,1393,1397,1399,1401,1404,1405,1407,1408,1409,1409,1410,1410,1410,1410,1410,1409,1409,1408,1408,1407,1408,1408,1408,1411,1413,1416,1420,1424,1428,1432,1437,1442,1446,1450,1454,1456,1458,1460,1462,1463,1464,1466,1468,1469,1471,1473,1475,1478,1480,1482,1485,1487,1489,1489,1489,1489,1489,1489,1488,1488,1488,1488,1488,1488,1488,1488,1488
395209,"Washington, DC",7,1848,1857,1865,1874,1881,1889,1897,1905,1913,1920,1926,1931,1937,1939,1942,1945,1948,1952,1955,1959,1963,1967,1970,1974,1977,1980,1983,1986,1988,1991,1993,1995,1998,2000,2004,2007,2010,2013,2016,2020,2022,2024,2026,2028,2029,2031,2033,2036,2038,2042,2046,2050,2055,2059,2064,2070,2075,2081,2086,2091,2096,2101,2106,2111,2116,2120,2125,2128,2132,2135,2136,2136,2136,2132,2127,2123,2118,2113,2108,2102,2097,2091,2085,2079
394856,"Miami-Fort Lauderdale, FL",8,1557,1565,1573,1582,1590,1598,1607,1615,1623,1632,1640,1648,1656,1664,1672,1680,1688,1696,1703,1711,1718,1726,1732,1739,1746,1751,1756,1761,1765,1769,1772,1775,1778,1781,1783,1785,1787,1790,1792,1795,1798,1800,1803,1806,1809,1812,1816,1820,1824,1828,1832,1837,1841,1846,1850,1854,1859,1863,1867,1870,1874,1878,1881,1885,1889,1892,1896,1900,1904,1909,1912,1915,1918,1920,1922,1924,1926,1928,1930,1932,1933,1935,1937,1939
394347,"Atlanta, GA",9,1131,1136,1141,1147,1152,1157,1162,1167,1172,1178,1183,1188,1194,1199,1205,1210,1215,1221,1226,1231,1237,1243,1249,1255,1262,1268,1275,1281,1288,1294,1301,1307,1313,1319,1325,1330,1336,1342,1347,1353,1358,1364,1370,1376,1381,1387,1393,1400,1406,1412,1419,1426,1433,1440,1447,1455,1463,1470,1477,1484,1492,1498,1505,1511,1517,1522,1528,1532,1536,1541,1545,1548,1552,1556,1561,1566,1572,1578,1584,1589,1595,1601,1607,1613
